Source,Target,Weight,If_across,Type,Category
Celmed Biosciences Inc.,Enobia Pharma ,1,1,directed,Mobility
Phenogene Therapeutiques Inc.,Enobia Pharma ,2,0,directed,Mobility
Universite d'Angers ,Enobia Pharma ,2,0,directed,Mobility
Boehringer Ingelheim ,EnVivo Pharmaceuticals ,1,1,directed,Mobility
The Regents of the University of California ,"Exelixis Pharmaceuticals, Inc.",7,1,directed,Mobility
Corporation de I'Ecole Polytechnique ,ExxonMobil Chemical Patents Inc.,1,1,directed,Mobility
Polyvalor Societe en Commandite ,ExxonMobil Chemical Patents Inc.,1,1,directed,Mobility
M. S. & D. ,Florida Institute of Technology ,1,1,directed,Mobility
The Royal Institute for the Advancement of Learning/McGill University ,Florida Institute of Technology ,1,1,directed,Mobility
EnVivo Pharmaceuticals ,"Forum Pharmaceuticals, Inc.",9,1,directed,Mobility
Merck Sharp & Dohme Corp.,"Forum Pharmaceuticals, Inc.",1,1,directed,Mobility
"Methyl Gene, Inc.","Forum Pharmaceuticals, Inc.",8,1,directed,Mobility
Ecole Polytechnique ,FPINNOVATION ,1,1,directed,Mobility
Pulp and Paper Research Institute of Canada ,FPINNOVATION ,1,1,directed,Mobility
CONSORZIO INTERUNIVERSITARIO NAZIONALE PER LA SCIENZA E TECNOLOGIA DEI MATERIALI INSTM ,FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.,1,1,undirected,Cooperation
Hydro-Quebec ,FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.,4,1,directed,Mobility
Chemisar Laboratories Inc.,"Gas Metropolitain and Company, Limited ",1,1,undirected,Cooperation
Gemin X Pharmaceuticals Canada inc.,Gemin X Biotechnologies ,3,0,directed,Mobility
McGill Univeristy ,Gemin X Biotechnologies ,1,0,directed,Mobility
Merck & Co. Inc.,Gemin X Biotechnologies ,1,1,directed,Mobility
Gemin X Biotechnologies ,Gemin X Pharmaceuticals Canada inc.,2,0,directed,Mobility
Shire Biochem Inc.,Gemin X Pharmaceuticals Canada inc.,1,1,directed,Mobility
"TaiMed Biologics, Inc.",Gemin X Pharmaceuticals Canada inc.,1,1,directed,Mobility
Universite Laval ,Gemin X Pharmaceuticals Canada inc.,1,1,directed,Mobility
Institut de Cardiologie de Montreal ,"GENE SIGNAL INTERNATIONAL, SA ",1,1,directed,Mobility
"Polyvalor, Limited Partnership ","General Dynamics Ordnance and Tactical Systems--Canada Valleyfield, Inc.",1,1,directed,Mobility
The Royal Institute for the Advancement of Learning/McGill University ,GERMAN CANCER RESEARCH CENTER ,9,1,directed,Mobility
Boehringer Ingelheim International GmbH ,"Gilead Sciences, Inc.",7,1,directed,Mobility
Merck & Co. Inc.,"Gilead Sciences, Inc.",1,1,directed,Mobility
Royal Institute for the Advancement of Learning ,"Gilead Sciences, Inc.",1,1,directed,Mobility
Biochem Immunosystems Inc.,Glaxo Wellcome Inc.,1,1,directed,Mobility
H&ocirc ;pital Sainte-Justine ,GRIFFON PHARMACEUTICALS INC.,1,0,directed,Mobility
Hopital Sainte-Justine ,H&ocirc ;pital Sainte-Justine ,3,0,directed,Mobility
Haemacure Biotech Inc.,Haemacure Corporation ,1,1,directed,Mobility
Hydro-Quebec ,"Her Majesty the Queen in right of Canada, as represented by the Minister ",1,1,directed,Mobility
DNA Landmarks Inc.,Her Majesty the Queen in the Right of Canada as Represented by the Minister of Agriculture and Agri-Food Soils and Crops Research and Dev ,1,0,undirected,Cooperation
